study_title,value_MONDO,value_BTO,value_UBERON,value_MEDDRA,value_DRON
transcriptome-wide identification of rna-binding protein and microrna target sites by par-clip: sequencing data,null,null,protein,protein,rna
transcriptomic analysis of autistic brain reveals convergent molecular pathology [high-throughput sequence data],null,brain,brain,null,null
rna-sequencing of cells derived from the site of inflammation of juvenile idiopathic arthritis patients,juvenile idiopathic arthritis,juvenile,juvenile,inflammation,rna
transposon-mediated gene regulatory network rewiring contributed to the evolution of pregnancy in mammals,null,null,null,pregnancy,null
dynamic transcriptomes during neural differentiation of human embryonic stem cells,null,stem,null,human,null
gse30222: rna-seq of brain and various cell lines,null,brain,brain,cell,rna
regulation of nucleosome landscape and transcription factor binding at enhancers by brg1,null,null,null,null,binding
rna-sequencing of tgf-ß1-driven gene expression in human kidney cell line,"sarcoidosis, susceptibility to, 1",kidney cell line,kidney cell,human,rna
small rna analysis,null,null,null,null,rna
transcriptome analysis of psoriasis in a large case-control sample:  rna-seq provides insights into disease mechanisms,psoriasis,null,null,psoriasis,rna
elucidating the etiology and molecular pathogenicity of infectious diarrhea by high throughput rna sequencing,infectious diarrheal disease,null,null,infectious diarrhea,rna
expression data from untreated and aza treated aml3 cells,null,null,null,null,null
genome sequencing of a fusobacterium nucleatum colon cancer tumor isolate,colorectal cancer,colon,colon,colon cancer,null
rna-sequencing time course of human intestinal epithelial cells (hiecs) following knockdown of mir-30bcd using complementary locked nucleic acids,null,null,null,human,rna
single cell rna-seq reveals expansion of igrp-reactive cd4+ t cells in recent onset type i diabetes (single-cell rna-seq of t-cell clone),type 1 diabetes mellitus,t-lymphocyte,cell,cell,rna
identification of the hemogenic endothelial progenitor and its direct precursor in human pluripotent stem cell differentiation cultures,endotheliitis,hpsc cell,pluripotent stem cell,human,null
novel rna biomarkers in urine and plasma of patients with prostate cancer.,prostate cancer,urine,urine,prostate cancer,rna
rna-seq analysis of mct8-deficient and healthy control brain microvascular endothelial cells (bmecs) and neural cells,endotheliitis,brain,brain,null,rna
airway epithelial cells from smokers treated with myo-inositol or placebo,null,null,respiratory tube,null,inositol
homo sapiens raw sequence reads,null,null,homo sapiens,null,null
mycobacterial infection induces a specific human innate immune response,mycobacterial infectious disease,null,immune response,mycobacterial infection,null
an interaction with ewing''s sarcoma breakpoint protein ews defines the specific oncogenic mechanism of ets factors rearranged in prostate cancer,sarcoma,prostate gland,protein,sarcoma,protein
mbnl sequestration by toxic rnas and rna mis-processing in the myotonic dystrophy brain,myotonic dystrophy,brain,brain,myotonic dystrophy,rna
integrative annotation of human large intergenic non-coding rnas reveals global properties and specific subclasses,null,null,null,human,null
single cell rna-seq reveals expansion of igrp-reactive cd4+ t cells in recent onset type i diabetes (single-cell rna-seq of cd4+ pooled islet antigen-reactive t cells),type 1 diabetes mellitus,null,cell,cell,rna
direct comparison of distinct naïve pluripotent states in human embryonic stem cells,null,stem,null,human,null
acriflavine inhibits the epithelial-to-mesenchymal transition in vitro in liver and pancreatic cancer cells (part of study on hepg2),malignant pancreatic neoplasm,liver,liver,pancreatic cancer,acriflavine
human embryonic and mesenchymal stem cells,null,stem,null,human,null
ebolavirus species associated with differential pathogenicity induce distinct host responses in human macrophages,null,null,null,human,null
triple-negative breast cancer  rna-seq from matched fresh-frozen versus formalin-fixed paraffin-embedded tissue,triple-negative breast carcinoma,breast,breast,breast cancer,rna
kshv lana upregulates the expression of egfl7 proteins in bjab cells,kaposi's sarcoma (disease),null,null,null,proteins
refining brucellosis diagnosis by blood transcriptional profiling.,brucellosis,blood,blood,brucellosis,null
single cell transcriptome of human myometrial and cervical tissue during pregnancy,null,null,cell,cell,null
myelodysplastic syndromes are propagated by rare and distinct human cancer stem cells in vivo,myelodysplastic syndrome,stem,null,myelodysplastic syndromes,null
rna sequencing of amygdala in schizophrenia,schizophrenia (disease),amygdala,amygdala,schizophrenia,rna
transcriptome dynamics of clk dependent exon recognition and conjoined gene formation revealed with a novel small molecule inhibitor,null,null,molecule,null,potassium chloride
rg4-seq reveals widespread formation of g-quadruplex structures in the human transcriptome,null,null,null,human,null
rna-seq analysis of control dpsc and dpsc derived neurons,null,null,null,null,rna
"the cushing's disease adipose gene expression profile reveals effects of long term glucocorticoids on adipose tissue lipid, protein and glucose metabolism",cushing disease due to pituitary adenoma,adipose tissue,adipose tissue,cushing's disease,glucocorticoid
whole transcriptome analysis of lung squamouse cell carcinoma,lung neoplasm,lung,lung,cell,null
allele-specific methylation of human placental tissue,null,null,tissue,human,null
an endotoxin tolerance signature predicts sepsis and organ dysfunction at initial clinical presentation,null,null,organ,sepsis,null
